Name,Market Size,Innovation Level,Market Competition,User Fit,Industry Relevance,Team Size and Traction,Funding and Validation,Total Score
Foundry,5,4,3,5,5,3,4,8.3
Doppel,5,4,3,5,5,4,4,8.7
knownwell,4,3,3,4,4,3,4,7.1
Summer Health,4,4,3,4,5,2,4,7.6
Valar Labs,5,4,3,5,5,2,4,7.6
Kaedim,4,4,3,4,4,3,3,6.8
Bold,4,3,3,4,4,3,3,6.7
LangChain,5,4,3,5,5,3,4,8.3
Quilt,4,3,2,5,5,2,3,6.8
Binocs,4,4,3,5,4,3,3,7.2
Zibra AI,4,4,3,5,4,3,2,6.9
hOS,5,4,2,5,5,3,3,7.6
Angle Protocol,4,3,3,3,4,2,2,6.3
Eder Labs (dba ColorIt),5,4,3,4,4,2,2,6.3
Buidler DAO,4,4,3,3,5,3,3,7.0
Vantage,5,3,2,4,5,2,3,7.0
Gladia.io,4,3,2,5,4,3,3,7.1
xalts,4,5,3,4,5,3,2,7.6
Spade,4,4,3,5,5,3,3,7.7
Marker Learning,4,3,3,4,4,3,4,7.4
Sound,4,4,3,3,3,4,2,6.7
Sloyd,5,5,3,5,5,3,3,8.2
Nexue,5,4,2,4,5,2,3,7.2
11x,4,4,3,5,5,3,4,8.3
Tennr,5,4,3,5,5,3,3,8.6
Sahara AI,5,4,3,5,5,3,3,8.6
HeyGen,4,4,3,5,5,3,4,8.3
Nurix AI,4,3,3,5,5,2,3,7.6
e6data,4,4,3,5,5,3,3,8.1
Ideogram,5,4,2,5,5,2,4,8.5
Anysphere,5,4,2,5,5,2,4,8.5
Skild AI,4,4,3,5,5,4,4,8.4
Farcaster,5,4,2,4,5,2,3,8.1
Function Health,4,4,3,5,5,3,4,8.3
Viggle AI,4,4,3,5,5,3,3,8.1
Napkin AI,4,3,2,4,4,2,3,6.8
Caldera,4,4,3,3,5,3,4,7.9
Decagon,5,4,4,5,5,2,3,8.7
Factory,5,4,3,5,5,4,4,8.9
Black Forest Labs,5,4,3,5,5,3,4,8.8
Leya,5,4,3,5,4,4,3,8.3
Civitai,4,4,3,5,5,3,3,8.1
Fal.ai,4,3,2,5,5,2,3,7.4
Hippocratic AI,4,4,3,5,5,3,3,8.1
Veri,4,3,3,4,4,3,3,7.1
Frame,4,3,2,4,4,3,3,6.9
Sema4.ai,5,4,3,5,5,2,3,8.5
Series Entertainment,5,4,3,5,5,3,4,8.8
Dust,5,4,3,5,5,2,3,8.5
Udio,4,4,3,5,4,2,3,7.6
Tacto,4,4,3,5,4,3,4,7.9
Eclipse,4,4,2,4,5,3,3,7.7
Syrup Tech,4,4,3,5,5,3,3,8.1
Black Ore Technologies,4,3,3,5,4,4,4,7.6
LogX,4,5,2,4,5,3,3,8.1
Adaptive Real Estate,4,3,3,4,4,2,3,7.0
Blockaid,5,4,3,4,5,4,4,8.7
nsave,4,3,3,4,4,2,3,7.0
Allium,4,3,3,5,4,3,3,7.3
Privy,4,3,2,4,5,3,4,7.5
XFactor,4,4,3,5,5,3,4,8.3
Rainforest,4,3,2,4,5,4,3,7.4
Enterpret,4,3,3,5,4,3,2,7.1
Fibr,4,4,3,5,5,4,3,8.2
Turnkey,4,4,3,3,4,2,4,7.4
Proof of Play,4,4,3,5,4,2,4,7.8
Moment,4,3,2,3,4,2,4,6.8
Together AI,5,4,3,5,5,3,4,8.8
Alison AI,4,4,3,5,5,4,3,8.2
Spruce,5,4,3,4,5,3,4,8.6
Optimizer AI,4,4,3,5,4,2,2,7.4
Stonks,4,3,3,2,4,3,2,6.5
Metaphor,4,3,3,5,5,2,3,7.6
Cosmos,4,3,2,4,4,2,3,6.8
Locofy,4,4,3,5,5,3,2,7.9
Rhythms,5,5,3,4,5,2,4,8.9
Vesta,4,4,3,5,4,3,4,7.9
Poggio Labs,4,3,2,4,5,2,2,7.0
Wizard,4,4,3,5,5,2,4,8.2
APEX,5,4,3,5,5,2,3,8.5
Xaver,4,4,3,4,5,2,2,7.6
MedScout,4,3,3,4,5,3,3,7.5
Flexpa,4,4,3,5,5,3,3,8.1
Ex-human,4,4,3,5,4,2,2,7.4
Optic,4,4,2,4,4,3,3,7.3
Mindy,4,3,2,5,5,2,3,7.4
Marveri,5,4,3,5,4,2,4,8.3
Rezo Therapeutics,5,4,2,4,5,2,3,8.1
Mermaid Chart,4,4,3,5,4,2,3,7.6
RapidCanvas,5,4,3,5,5,3,3,8.6
Mira,5,4,3,5,5,2,3,8.5
Thatch,5,3,3,4,5,3,3,8.0
Base64.ai,5,5,3,5,5,4,3,9.1
StackOne,4,2,3,4,4,4,3,6.8
HumanX,5,4,3,5,5,2,3,8.5
Patina,4,3,3,4,5,3,3,7.5
Fortuna Health,4,3,2,4,5,2,3,7.2
Distributional,5,4,3,5,5,2,4,8.7
Topography Health,4,4,3,4,5,3,3,7.9
Super Payments,4,4,3,4,5,2,4,8.0
Pace,4,3,3,4,5,3,3,7.5
PROOF,4,3,3,4,4,3,4,7.3
Meeno,4,3,3,5,4,2,4,7.4
Iconic.AI,4,4,3,5,4,2,3,7.6
FlyFin AI,4,3,3,5,4,2,2,7.0
Valora,5,4,3,3,5,3,4,8.4
Lit Protocol,4,4,3,4,5,3,4,8.1
Prophetic,3,4,3,5,4,2,2,6.9
Aquarium,5,4,3,5,5,3,2,8.4
Setter,4,4,3,2,5,2,3,7.4
Linera,4,3,2,4,4,2,3,6.8
Atlantic Money,4,3,2,2,4,2,2,6.2
Yellow,5,4,3,5,5,3,3,8.6
OnChain Studios,4,4,3,3,4,2,4,7.4
Jitty,4,3,2,4,5,2,2,7.0
Leap Wallet,4,3,2,3,5,2,2,6.8
KINO,4,4,3,4,5,3,3,7.9
Haz,4,3,3,5,4,2,2,7.0
Co:Create,4,3,3,3,4,2,4,7.0
Twain,4,3,3,5,4,3,2,7.1
Arcane,5,4,3,4,4,3,2,7.8
Cube,4,4,3,5,5,3,3,8.1
RootNote,4,3,3,4,5,2,2,7.2
DELV,5,4,3,4,4,3,4,8.2
Wondermind,5,4,3,4,5,4,2,8.3
Rewind AI,4,4,3,4,5,3,3,7.9
NAKAD,4,4,3,3,5,2,3,7.6
PartyKit,4,3,3,5,5,2,2,7.4
Complete,4,2,3,3,4,2,3,6.4
Biogenesis,5,4,2,3,5,2,3,7.9
STEPN,3,4,3,3,4,2,3,6.7
LootRush,4,4,3,4,5,3,3,7.9
Solvo.ai,4,4,3,5,5,2,3,8.0
NaroIQ,4,3,2,4,5,3,3,7.3
Kinetic,4,4,3,5,5,2,3,8.0
Mirage,5,4,2,5,5,2,3,8.3
RabbitX,5,4,3,4,5,3,3,8.4
Biodock,4,4,3,4,4,2,4,7.6
Heptabase,3,3,2,4,4,2,3,6.3
Space Runners,5,4,3,4,5,3,3,8.4
BreederDAO,4,3,3,4,4,3,4,7.3
Endo Health,5,4,3,5,5,2,2,8.3
Winden,4,3,3,2,5,3,2,6.9
Index Coop,4,4,3,3,5,2,3,7.6
Entropy,4,4,3,2,5,2,4,7.6
Tweed,4,4,3,4,5,2,3,7.8
FitBudd,4,3,3,4,4,3,2,6.9
Hubble,4,3,2,4,5,3,2,7.1
SPF META,4,4,3,3,5,3,4,7.9
Party Round,4,3,2,2,3,2,3,6.
Loop Crypto,4,3,2,3,4,2,3,6.6
Gamma,4,3,3,5,4,3,3,7.3
Runway Financial,4,4,3,4,4,3,4,7.7
Mermaid Char,3,3,3,4,3,3,3,6.2
Fei Labs,4,3,3,4,5,3,3,7.5
Calixa,4,3,3,4,4,3,3,7.1
Tavus,4,4,3,5,4,3,3,7.7
Datanomik,4,3,2,4,5,3,3,7.3
Doctor Droid,4,3,3,5,4,2,3,7.2
Relive,4,3,3,4,4,3,2,6.9
trica,4,3,3,2,4,3,3,6.7
Wectory,4,3,3,4,4,3,2,6.9
Mem Protocol,4,4,3,4,5,2,2,7.6
Calliper,4,3,2,5,4,2,3,7.0
Nory AI,4,4,3,5,4,4,3,7.8
Method Financial,4,3,3,4,4,3,3,7.1
Party,5,4,3,5,5,2,2,8.3
Synativ,4,4,3,5,5,2,2,7.8
Effectiv,4,4,3,5,5,3,2,7.9
Socket,4,4,3,4,5,3,3,7.9
Stemma,5,4,3,4,5,3,2,8.2
Battlebound,4,3,3,4,4,2,3,7.0
SphereEx,5,4,3,4,5,3,3,8.4
Cybersyn,4,3,2,5,5,2,4,7.6
PropBidder,4,3,2,4,4,2,3,6.8
Blackbird,4,4,3,5,4,4,4,8.0
Niftmint,4,3,3,4,5,2,2,7.2
Nxyz,4,4,3,4,5,2,4,8.0
Lightdash,4,3,2,5,4,2,3,7.0
Fincome,4,3,2,4,4,2,2,6.6
Kratos Studios,5,4,3,4,5,2,3,8.3
Kaito,5,4,3,5,5,4,3,8.7
NewLimit,5,4,3,3,5,3,3,8.2
Provus,4,4,3,5,5,4,3,8.2
Accacia,4,4,3,5,5,4,3,8.2
Fractal,4,3,2,4,4,2,2,6.6
Here Not There Labs,4,4,3,5,4,3,3,7.7
OneSchema,3,4,3,4,4,3,3,7.0
Telda,5,3,3,4,5,2,3,7.9
Revio,4,4,3,4,5,3,3,7.9
WellTheory,4,3,3,5,5,2,3,7.6
Pillow,4,3,3,3,4,3,4,7.1
Synonym Biotechnologies,4,4,3,3,5,2,2,7.4
Chronicle,4,3,3,4,4,3,3,7.1
TipLink,4,3,3,3,5,2,4,7.4
Topkey,4,3,2,4,3,2,3,6.4
Rex,4,3,2,5,3,2,3,6.6
Regression Games,4,5,3,5,4,2,2,7.8
Fundly.ai,4,3,2,5,4,2,3,7.0
Wanderboat AI,4,4,3,5,4,2,3,7.6
Caresync.website,5,4,2,4,5,2,3,8.1
Qurable,4,4,3,5,4,2,2,7.4
Weights,5,4,3,5,5,2,2,8.3
koodos,2,3,4,4,3,2,2,5.8
Visual Electric,4,4,3,4,5,2,3,7.8
Otto,4,3,3,5,4,3,2,7.1
Spindle AI (www.spindle.ai),4,4,3,5,5,2,3,8.0
fina,5,2,2,3,5,3,2,7.0
Kotoko AI,5,4,3,5,4,2,2,8.4
Provision,3,4,3,5,4,2,3,7.1
Sotera Heritage,4,4,3,4,4,2,3,7.4
Snapfi,4,3,2,5,5,2,2,7.8
